market_key,market_name,province,geography_type,status,source_name,source_url,source_date,confidence,profile_notes,population,population_notes,population_growth_percent,population_growth_percent_notes,unemployment_rate_percent,unemployment_rate_percent_notes,median_household_income,median_household_income_notes
abbotsford_mission_bc,Abbotsford-Mission,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,195726,Abbotsford - Mission population in the 2021 Census.,8.4,Population change from 2016 to 2021 for Abbotsford - Mission.,7.6,Census unemployment rate for the population aged 15+ in Abbotsford - Mission.,82000,Median after-tax household income in 2020 for Abbotsford - Mission.
campbell_river_bc,Campbell River,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,40704,Campbell River population in the 2021 Census.,7.5,Population change from 2016 to 2021 for Campbell River.,8.9,Census unemployment rate for the population aged 15+ in Campbell River.,70500,Median after-tax household income in 2020 for Campbell River.
chilliwack_bc,Chilliwack,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,113767,Chilliwack population in the 2021 Census.,12.1,Population change from 2016 to 2021 for Chilliwack.,6.8,Census unemployment rate for the population aged 15+ in Chilliwack.,74000,Median after-tax household income in 2020 for Chilliwack.
courtenay_bc,Courtenay,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,63282,Courtenay population in the 2021 Census.,9.2,Population change from 2016 to 2021 for Courtenay.,8,Census unemployment rate for the population aged 15+ in Courtenay.,69000,Median after-tax household income in 2020 for Courtenay.
cranbrook_bc,Cranbrook,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,27040,Cranbrook population in the 2021 Census.,3.7,Population change from 2016 to 2021 for Cranbrook.,7.2,Census unemployment rate for the population aged 15+ in Cranbrook.,75500,Median after-tax household income in 2020 for Cranbrook.
dawson_creek_bc,Dawson Creek,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,17878,Dawson Creek population in the 2021 Census.,-5.4,Population change from 2016 to 2021 for Dawson Creek.,9.2,Census unemployment rate for the population aged 15+ in Dawson Creek.,76000,Median after-tax household income in 2020 for Dawson Creek.
duncan_bc,Duncan,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,47582,Duncan population in the 2021 Census.,7,Population change from 2016 to 2021 for Duncan.,7.5,Census unemployment rate for the population aged 15+ in Duncan.,69000,Median after-tax household income in 2020 for Duncan.
fort_st_john_bc,Fort St. John,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,28729,Fort St. John population in the 2021 Census.,1.2,Population change from 2016 to 2021 for Fort St. John.,8.8,Census unemployment rate for the population aged 15+ in Fort St. John.,91000,Median after-tax household income in 2020 for Fort St. John.
kamloops_bc,Kamloops,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,114142,Kamloops population in the 2021 Census.,10,Population change from 2016 to 2021 for Kamloops.,7.6,Census unemployment rate for the population aged 15+ in Kamloops.,77000,Median after-tax household income in 2020 for Kamloops.
kelowna_bc,Kelowna,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,222162,Kelowna population in the 2021 Census.,14,Population change from 2016 to 2021 for Kelowna.,8,Census unemployment rate for the population aged 15+ in Kelowna.,75500,Median after-tax household income in 2020 for Kelowna.
ladysmith_bc,Ladysmith,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,15501,Ladysmith population in the 2021 Census.,6.4,Population change from 2016 to 2021 for Ladysmith.,7.5,Census unemployment rate for the population aged 15+ in Ladysmith.,72500,Median after-tax household income in 2020 for Ladysmith.
nanaimo_bc,Nanaimo,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,115459,Nanaimo population in the 2021 Census.,10,Population change from 2016 to 2021 for Nanaimo.,8.3,Census unemployment rate for the population aged 15+ in Nanaimo.,70000,Median after-tax household income in 2020 for Nanaimo.
nelson_bc,Nelson,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,19119,Nelson population in the 2021 Census.,4.4,Population change from 2016 to 2021 for Nelson.,9,Census unemployment rate for the population aged 15+ in Nelson.,67500,Median after-tax household income in 2020 for Nelson.
parksville_bc,Parksville,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,31054,Parksville population in the 2021 Census.,7.4,Population change from 2016 to 2021 for Parksville.,7.8,Census unemployment rate for the population aged 15+ in Parksville.,67000,Median after-tax household income in 2020 for Parksville.
penticton_bc,Penticton,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,47380,Penticton population in the 2021 Census.,8.8,Population change from 2016 to 2021 for Penticton.,8.2,Census unemployment rate for the population aged 15+ in Penticton.,64500,Median after-tax household income in 2020 for Penticton.
port_alberni_bc,Port Alberni,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,25786,Port Alberni population in the 2021 Census.,4.5,Population change from 2016 to 2021 for Port Alberni.,9.3,Census unemployment rate for the population aged 15+ in Port Alberni.,61200,Median after-tax household income in 2020 for Port Alberni.
powell_river_bc,Powell River,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,17825,Powell River population in the 2021 Census.,6.2,Population change from 2016 to 2021 for Powell River.,8.1,Census unemployment rate for the population aged 15+ in Powell River.,60800,Median after-tax household income in 2020 for Powell River.
prince_george_bc,Prince George,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,89490,Prince George population in the 2021 Census.,3.3,Population change from 2016 to 2021 for Prince George.,9,Census unemployment rate for the population aged 15+ in Prince George.,80000,Median after-tax household income in 2020 for Prince George.
prince_rupert_bc,Prince Rupert,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,13442,Prince Rupert population in the 2021 Census.,-0.1,Population change from 2016 to 2021 for Prince Rupert.,9.8,Census unemployment rate for the population aged 15+ in Prince Rupert.,81000,Median after-tax household income in 2020 for Prince Rupert.
quesnel_bc,Quesnel,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,23113,Quesnel population in the 2021 Census.,-0.1,Population change from 2016 to 2021 for Quesnel.,10.9,Census unemployment rate for the population aged 15+ in Quesnel.,65500,Median after-tax household income in 2020 for Quesnel.
salmon_arm_bc,Salmon Arm,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,19705,Salmon Arm population in the 2021 Census.,10.1,Population change from 2016 to 2021 for Salmon Arm.,7.9,Census unemployment rate for the population aged 15+ in Salmon Arm.,68000,Median after-tax household income in 2020 for Salmon Arm.
squamish_bc,Squamish,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,24232,Squamish population in the 2021 Census.,21.8,Population change from 2016 to 2021 for Squamish.,6.8,Census unemployment rate for the population aged 15+ in Squamish.,96000,Median after-tax household income in 2020 for Squamish.
terrace_bc,Terrace,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,19606,Terrace population in the 2021 Census.,2.3,Population change from 2016 to 2021 for Terrace.,8.1,Census unemployment rate for the population aged 15+ in Terrace.,80000,Median after-tax household income in 2020 for Terrace.
trail_bc,Trail,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,14268,Trail population in the 2021 Census.,0.5,Population change from 2016 to 2021 for Trail.,7.1,Census unemployment rate for the population aged 15+ in Trail.,68500,Median after-tax household income in 2020 for Trail.
vancouver_bc,Vancouver,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,2642825,Vancouver population in the 2021 Census.,7.3,Population change from 2016 to 2021 for Vancouver.,8.6,Census unemployment rate for the population aged 15+ in Vancouver.,79500,Median after-tax household income in 2020 for Vancouver.
vernon_bc,Vernon,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,67086,Vernon population in the 2021 Census.,9.4,Population change from 2016 to 2021 for Vernon.,8.2,Census unemployment rate for the population aged 15+ in Vernon.,71000,Median after-tax household income in 2020 for Vernon.
victoria_bc,Victoria,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,397237,Victoria population in the 2021 Census.,8,Population change from 2016 to 2021 for Victoria.,6.9,Census unemployment rate for the population aged 15+ in Victoria.,75500,Median after-tax household income in 2020 for Victoria.
williams_lake_bc,Williams Lake,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,23608,Williams Lake population in the 2021 Census.,2.1,Population change from 2016 to 2021 for Williams Lake.,8.1,Census unemployment rate for the population aged 15+ in Williams Lake.,72500,Median after-tax household income in 2020 for Williams Lake.
